-90,00	-9,02
-89,00	-5,72
-88,00	-4,03
-87,00	-2,97
-86,00	-2,51
-85,00	-3,96
-84,00	-8,54
-83,00	-17,10
-82,00	-23,79
-81,00	-13,23
-80,00	-8,57
-79,00	-6,15
-78,00	-5,57
-77,00	-7,62
-76,00	-8,96
-75,00	-8,33
-74,00	-7,01
-73,00	-5,85
-72,00	-16,40
-71,00	-5,08
-70,00	-0,69
-69,00	-2,56
-68,00	5,21
-67,00	9,62
-66,00	9,51
-65,00	4,46
-64,00	-7,33
-63,00	-0,34
-62,00	-2,15
-61,00	-11,84
-60,00	-10,71
-59,00	-10,48
-58,00	-13,00
-57,00	-8,21
-56,00	-1,64
-55,00	0,72
-54,00	-0,18
-53,00	-3,18
-52,00	-5,23
-51,00	-7,45
-50,00	-22,22
-49,00	-8,16
-48,00	-3,25
-47,00	-3,43
-46,00	-5,72
-45,00	-6,49
-44,00	-7,45
-43,00	-8,81
-42,00	-7,86
-41,00	-7,73
-40,00	-7,81
-39,00	-6,49
-38,00	-6,39
-37,00	-8,82
-36,00	-14,14
-35,00	-21,77
-34,00	-23,19
-33,00	-17,63
-32,00	-14,90
-31,00	-15,68
-30,00	-18,68
-29,00	-15,22
-28,00	-11,30
-27,00	-9,75
-26,00	-9,46
-25,00	-9,14
-24,00	-8,41
-23,00	-8,13
-22,00	-9,04
-21,00	-11,34
-20,00	-13,72
-19,00	-13,38
-18,00	-12,64
-17,00	-13,82
-16,00	-15,57
-15,00	-11,95
-14,00	-7,50
-13,00	-4,52
-12,00	-2,51
-11,00	-1,04
-10,00	0,06
-9,00	0,64
-8,00	0,42
-7,00	-0,65
-6,00	-1,38
-5,00	0,62
-4,00	3,76
-3,00	6,20
-2,00	7,78
-1,00	8,66
0,00	8,99
1,00	8,79
2,00	8,00
3,00	6,48
4,00	4,05
5,00	0,83
6,00	-1,39
7,00	-0,77
8,00	0,31
9,00	0,58
10,00	0,11
11,00	-0,84
12,00	-2,19
13,00	-4,15
14,00	-7,19
15,00	-11,77
16,00	-14,41
17,00	-11,63
18,00	-10,45
19,00	-11,89
20,00	-13,97
21,00	-11,32
22,00	-8,53
23,00	-7,77
24,00	-8,69
25,00	-10,44
26,00	-11,19
27,00	-10,53
28,00	-10,48
29,00	-12,31
30,00	-15,68
31,00	-16,62
32,00	-16,74
33,00	-20,15
34,00	-25,35
35,00	-21,56
36,00	-13,21
37,00	-7,98
38,00	-5,82
39,00	-6,17
40,00	-7,86
41,00	-8,11
42,00	-7,87
43,00	-8,11
44,00	-6,95
45,00	-6,45
46,00	-6,59
47,00	-4,31
48,00	-3,39
49,00	-7,15
50,00	-19,70
51,00	-6,53
52,00	-3,32
53,00	-1,90
54,00	-0,28
55,00	0,02
56,00	-2,57
57,00	-10,51
58,00	-20,15
59,00	-10,87
60,00	-11,63
61,00	-12,34
62,00	-2,07
63,00	-0,40
64,00	-5,73
65,00	4,81
66,00	9,62
67,00	9,68
68,00	5,20
69,00	-2,64
70,00	-0,32
71,00	-4,38
72,00	-14,95
73,00	-5,42
74,00	-6,51
75,00	-7,91
76,00	-8,57
77,00	-7,79
78,00	-5,58
79,00	-5,81
80,00	-7,79
81,00	-11,40
82,00	-17,90
83,00	-16,31
84,00	-8,76
85,00	-4,43
86,00	-3,12
87,00	-3,81
88,00	-5,17
89,00	-6,94
90,00	-9,85
